name,division
The Pink Dragons,BCS
Busting with life,BCS
Waikato Treasure Chests (WTC),BCS
Boobops Aroha,BCS
Boobops Moana,BCS
Paddle Waikato Kowhia,Mixed
Paddle Waikato Whero,Mixed
Paddle Waikato Pango,Mixed
City Dragons - Whero,Mixed
City Dragons - Kowhai,Mixed
Waitemata Warriors,Mixed
Dragon Riders,Mixed
Steel Malosi,Mixed
Steel Malakas,Mixed
Zombies,Mixed
Flyers Paneke,Mixed
Flyers Turuki,Mixed
Random Randoms,Mixed
Lion,Mixed
Lion Pride,Mixed
Random Jaffas,Mixed
Bay Rollers,Womens
Bay Riders,Womens
Steel Divas,Womens
Women of Steel,Womens
Taranaki Dragons,Womens
Snap Dragons (WTC),Womens
Hauraki Blues,Womens
Jaffettes Beaches,Womens
Jaffettes Boom,Womens
